Time	EEG_Fp1	EEG_Fp2	PPG
오후 1:49:25.223 	0.000090	0.000061	0.000913
오후 1:49:25.223 	0.000055	0.000015	0.000913
오후 1:49:25.226 	0.000046	0.000014	0.000913
오후 1:49:25.226 	0.000039	0.000021	0.000913
오후 1:49:25.228 	0.000073	0.000066	0.000913
오후 1:49:25.228 	0.000062	0.000049	0.000913
오후 1:49:25.249 	0.000057	0.000030	0.000913
오후 1:49:25.249 	0.000035	0.000014	0.000913
오후 1:49:25.250 	0.000050	0.000033	0.000913
오후 1:49:25.250 	0.000060	0.000038	0.000913
오후 1:49:25.253 	0.000028	0.000021	0.000913
오후 1:49:25.253 	0.000025	0.000020	0.000912
오후 1:49:25.255 	0.000051	0.000049	0.000912
오후 1:49:25.255 	0.000055	0.000046	0.000912
오후 1:49:25.301 	0.000047	0.000021	0.000912
오후 1:49:25.301 	0.000055	0.000043	0.000912
오후 1:49:25.307 	0.000074	0.000072	0.000912
오후 1:49:25.307 	0.000072	0.000058	0.000912
오후 1:49:25.310 	0.000039	0.000029	0.000912
오후 1:49:25.310 	0.000020	0.000018	0.000912
오후 1:49:25.312 	0.000033	0.000042	0.000912
오후 1:49:25.312 	0.000052	0.000051	0.000912
오후 1:49:25.328 	0.000071	0.000065	0.000912
오후 1:49:25.328 	0.000050	0.000035	0.000912
오후 1:49:25.354 	0.000053	0.000041	0.000912
오후 1:49:25.354 	0.000068	0.000047	0.000912
오후 1:49:25.356 	0.000056	0.000043	0.000912
오후 1:49:25.356 	0.000047	0.000043	0.000912
오후 1:49:25.358 	0.000047	0.000035	0.000912
오후 1:49:25.358 	0.000092	0.000077	0.000912
오후 1:49:25.379 	0.000068	0.000056	0.000912
오후 1:49:25.379 	0.000039	0.000016	0.000912
오후 1:49:25.405 	0.000038	0.000017	0.000912
오후 1:49:25.405 	0.000088	0.000063	0.000912
오후 1:49:25.408 	0.000100	0.000080	0.000912
오후 1:49:25.408 	0.000083	0.000061	0.000912
오후 1:49:25.410 	0.000080	0.000054	0.000912
오후 1:49:25.410 	0.000077	0.000052	0.000912
오후 1:49:25.412 	0.000092	0.000072	0.000912
오후 1:49:25.412 	0.000070	0.000058	0.000912
오후 1:49:25.414 	0.000081	0.000059	0.000912
오후 1:49:25.414 	0.000070	0.000052	0.000912
오후 1:49:25.420 	0.000084	0.000065	0.000912
오후 1:49:25.420 	0.000088	0.000067	0.000912
오후 1:49:25.445 	0.000074	0.000050	0.000912
오후 1:49:25.445 	0.000087	0.000065	0.000912
오후 1:49:25.448 	0.000088	0.000067	0.000913
오후 1:49:25.448 	0.000101	0.000092	0.000912
오후 1:49:25.450 	0.000068	0.000052	0.000913
오후 1:49:25.450 	0.000054	0.000057	0.000913
오후 1:49:25.453 	0.000076	0.000067	0.000913
오후 1:49:25.453 	0.000092	0.000078	0.000913
오후 1:49:25.455 	0.000081	0.000068	0.000913
오후 1:49:25.455 	0.000090	0.000059	0.000913
오후 1:49:25.471 	0.000100	0.000065	0.000913
오후 1:49:25.471 	0.000089	0.000069	0.000913
오후 1:49:25.473 	0.000081	0.000059	0.000913
오후 1:49:25.473 	0.000072	0.000060	0.000913
오후 1:49:25.476 	0.000069	0.000050	0.000913
오후 1:49:25.476 	0.000091	0.000060	0.000913
오후 1:49:25.477 	0.000083	0.000059	0.000913
오후 1:49:25.477 	0.000072	0.000063	0.000913
오후 1:49:25.479 	0.000080	0.000061	0.000913
오후 1:49:25.479 	0.000104	0.000082	0.000913
오후 1:49:25.499 	0.000082	0.000081	0.000913
오후 1:49:25.499 	0.000084	0.000073	0.000913
